id,znamenitost,kategorija,drzave,kontinenti,leto vpisa,povrsina [ha],kriteriji
211,Minaret and Archaeological Remains of Jam,cultural_danger,['Afghanistan'],['Asia'],2002,70,"[('ii', 'to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design'), ('iii', 'to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared'), ('iv', 'to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history')]"
208,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,cultural_danger,['Afghanistan'],['Asia'],2003,158.9265,"[('i', 'to represent a masterpiece of human creative genius'), ('ii', 'to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design'), ('iii', 'to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared'), ('iv', 'to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history'), ('vi', 'to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance. (The Committee considers that this criterion should preferably be used in conjunction with other criteria)')]"
99,Natural and Cultural Heritage of the Ohrid region,mixed,"['Albania', 'North Macedonia']",['Europe'],1979,94728.6,"[('i', 'to represent a masterpiece of human creative genius'), ('iii', 'to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared'), ('iv', 'to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history'), ('vii', 'to contain superlative natural phenomena or areas of exceptional natural beauty and aesthetic importance')]"
570,Butrint,cultural,['Albania'],['Europe'],1992,ni podatka,"[('iii', 'to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared')]"
569,Historic Centres of Berat and Gjirokastra,cultural,['Albania'],['Europe'],2005,58.9,"[('iii', 'to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared'), ('iv', 'to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history')]"
1133,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,natural,"['Albania', 'Austria', 'Belgium', 'Bosnia and Herzegovina', 'Bulgaria', 'Croatia', 'Czechia', 'France', 'Germany', 'Italy', 'North Macedonia', 'Poland', 'Romania', 'Slovakia', 'Slovenia', 'Spain', 'Switzerland', 'Ukraine']",['Europe'],2007,99947.81,"[('ix', 'to be outstanding examples representing significant on-going ecological and biological processes in the evolution and development of terrestrial, fresh water, coastal and marine ecosystems and communities of plants and animals')]"
102,Al Qal'a of Beni Hammad,cultural,['Algeria'],['Africa'],1980,150,"[('iii', 'to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared')]"
191,Djémila,cultural,['Algeria'],['Africa'],1982,30.6,"[('iii', 'to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared'), ('iv', 'to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history')]"
188,M'Zab Valley,cultural,['Algeria'],['Africa'],1982,665.03,"[('ii', 'to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design'), ('iii', 'to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared'), ('v', 'to be an outstanding example of a traditional human settlement, land-use, or sea-use which is representative of a culture (or cultures), or human interaction with the environment especially when it has become vulnerable under the impact of irreversible change')]"
179,Tassili n'Ajjer,mixed,['Algeria'],['Africa'],1982,7200000,"[('i', 'to represent a masterpiece of human creative genius'), ('iii', 'to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared'), ('vii', 'to contain superlative natural phenomena or areas of exceptional natural beauty and aesthetic importance'), ('viii', ""to be outstanding examples representing major stages of earth's history, including the record of life, significant on-going geological processes in the development of landforms, or significant geomorphic or physiographic features"")]"
